Time,Occupancy
87.85178100746815,0
219.62945251867038,0
351.4071240298726,0
483.18479554107483,0
614.962467052277,0
746.7401385634793,0
878.5178100746815,0
1010.2954815858836,0
1142.073153097086,0
1273.850824608288,0
1405.6284961194904,0
1537.4061676306924,0
1669.1838391418949,0
1800.9615106530969,0
1932.7391821642996,0
2064.516853675501,0
2196.294525186704,0
2328.072196697906,0
2459.849868209108,0
2591.6275397203103,0
2723.405211231513,0
2855.182882742715,0
2986.960554253917,0
3118.7382257651198,0
3250.5158972763206,0
3382.293568787524,0
3514.071240298726,0
3645.848911809928,0
3777.6265833211305,0
3909.4042548323328,0
4041.181926343535,0
4172.959597854737,0
4304.737269365939,0
4436.514940877141,0
4568.292612388344,1
4700.070283899546,0
4831.847955410748,0
4963.62562692195,0
5095.403298433153,0
5227.180969944355,0
5358.958641455557,0
5490.736312966759,0
5622.5139844779615,0
5754.291655989164,0
5886.069327500366,0
6017.846999011568,0
6149.6246705227695,0
6281.402342033974,0
6413.180013545175,0
6544.957685056377,1
6676.735356567579,1
6808.513028078782,1
6940.290699589984,1
7072.068371101186,0
7203.8460426123875,1
7335.6237141235915,1
7467.401385634793,1
7599.179057145995,1
7730.956728657197,1
7862.7344001684,1
7994.512071679602,0
8126.289743190804,0
8258.067414702004,1
8389.845086213209,1
8521.62275772441,0
8653.400429235613,0
8785.178100746814,0
8916.955772258018,0
9048.73344376922,0
9180.511115280422,0
9312.288786791623,0
9444.066458302828,0
9575.844129814028,0
9707.621801325233,0
9839.399472836432,1
9971.177144347635,1
10102.954815858835,0
10234.73248737004,1
10366.51015888124,1
10498.287830392444,0
10630.065501903646,0
10761.843173414847,0
10893.62084492605,0
11025.398516437252,0
11157.176187948457,0
11288.953859459658,0
11420.73153097086,0
11552.509202482062,0
11684.286873993264,0
11816.064545504467,0
11947.842217015668,0
12079.619888526873,0
12211.39756003807,0
12343.175231549274,0
12474.952903060475,0
12606.73057457168,0
12738.508246082882,0
12870.285917594085,0
13002.063589105286,0
13133.841260616491,1
13265.61893212769,1
13397.396603638894,0
13529.174275150095,0
13660.951946661296,0
13792.7296181725,0
13924.507289683701,0
14056.284961194904,0
14188.062632706104,0
14319.840304217307,0
14451.617975728508,0
14583.395647239711,0
14715.173318750913,1
14846.95099026212,1
14978.72866177332,0
15110.506333284522,1
15242.284004795725,1
15374.061676306928,1
15505.839347818128,1
15637.617019329331,0
15769.394690840532,0
15901.172362351736,0
16032.950033862937,0
16164.72770537414,1
16296.50537688534,1
16428.283048396544,1
16560.060719907746,1
